Word		Original_feature		Predicted_feature
तथा		UNK		UNK
यहां		UNK		UNK
7.7		any		UNK
फीसदी		sg		sg
ही		UNK		UNK
हिंदू		pl		any
रह		pl		pl
गए		pl		pl
हैं		pl		pl
।		UNK		UNK
मिजोरम		sg		sg
में		UNK		UNK
87		any		any
NULL		UNK		UNK
तथा		UNK		UNK
मेघालय		sg		sg
में		UNK		UNK
70.3		any		any
फीसदी		sg		sg
आबादी		sg		sg
ईसाई		sg		sg
है		sg		sg
जबकि		UNK		UNK
यहाँ		UNK		UNK
हिंदू		sg		any
आबादी		sg		sg
क्रमशः		UNK		UNK
3.6		any		any
और		UNK		UNK
13.3		any		any
फीसदी		sg		sg
ही		UNK		UNK
रह		sg		sg
गई		sg		sg
है		sg		sg
,		UNK		UNK
NULL		UNK		UNK
अल्संख्यकों		pl		pl
को		UNK		UNK
लेकर		any		any
राज्यों		pl		pl
में		UNK		UNK
अलग		UNK		any
से		UNK		UNK
प्रावधान		sg		sg
नहीं		UNK		UNK
होने		any		any
के		UNK		UNK
चलते		UNK		UNK
उन		pl		pl
धर्मों		pl		pl
के		pl		pl
लोग		pl		pl
भी		UNK		UNK
अल्पसंख्यक		sg		sg
का		sg		sg
लाभ		sg		sg
ले		pl		pl
रहे		pl		pl
हैं		pl		pl
जो		pl		sg
सही		any		any
मायने		sg		sg
में		UNK		UNK
उस		sg		sg
राज्य		sg		sg
में		UNK		UNK
बहुसंख्यक		any		any
हैं		pl		pl
।		UNK		UNK
राष्ट्रीय		any		any
महिला		sg		sg
आयोग		sg		sg
ने		UNK		UNK
भारतीय		any		any
वायु		sg		sg
सेना		sg		sg
की		sg		sg
बर्खास्त		any		any
फ्लाइंग		sg		sg
ऑफिसर		sg		sg
अंजलि		sg		sg
गुप्ता		sg		sg
की		sg		sg
शिकायत		sg		sg
को		UNK		UNK
गंभीरता		sg		sg
से		UNK		UNK
लिया		sg		sg
है		sg		sg
।		UNK		UNK
आयोग		sg		sg
ने		UNK		UNK
वायु		sg		sg
सेना		sg		sg
से		UNK		UNK
पूछा		sg		sg
है		sg		sg
कि		UNK		UNK
क्या		UNK		UNK
सैन्य		any		any
अदालत		sg		sg
ने		UNK		UNK
कार्य		sg		sg
-		UNK		UNK
स्थल		sg		sg
पर		UNK		UNK
यौन		sg		any
उत्पीड़न		sg		sg
की		sg		sg
जाँच		sg		sg
के		UNK		UNK
दौरान		sg		sg
सुप्रीम		sg		sg
कोर्ट		sg		sg
द्वारा		UNK		UNK
विशाखा		sg		sg
मामले		sg		sg
में		UNK		UNK
दिए		pl		pl
दिशा		sg		sg
निर्देशों		pl		pl
का		sg		sg
पालन		sg		sg
किया		sg		sg
था		sg		sg
।		UNK		UNK
आयोग		sg		sg
ने		UNK		UNK
यह		sg		sg
भी		UNK		UNK
पूछा		sg		sg
है		sg		sg
कि		UNK		UNK
क्या		UNK		UNK
सेना		sg		sg
ने		UNK		UNK
इस		sg		sg
तरह		sg		sg
की		sg		pl
शिकायतों		pl		pl
के		UNK		UNK
लिए		UNK		UNK
किसी		sg		sg
प्रकोष्ठ		sg		sg
का		sg		sg
गठन		sg		sg
किया		sg		sg
है		sg		sg
।		UNK		UNK
आयोग		sg		sg
ने		UNK		UNK
वायु		sg		sg
सेना		sg		sg
से		UNK		UNK
१५		sg		sg
फरवरी		sg		sg
२००६		sg		sg
तक		UNK		UNK
अंजलि		sg		sg
मामले		sg		sg
में		UNK		UNK
की		sg		sg
जाँच		sg		sg
की		sg		sg
रिपोर्ट		sg		sg
भी		UNK		UNK
मांगी		sg		sg
है		sg		sg
।		UNK		UNK
गुप्ता		sg		sg
ने		UNK		UNK
१६		sg		sg
जनवरी		sg		sg
को		UNK		UNK
आयोग		sg		sg
से		UNK		UNK
अपनी		any		any
बर्खास्तगी		sg		sg
के		sg		sg
मामले		sg		sg
में		UNK		UNK
फिर		UNK		UNK
से		UNK		UNK
जाँच		sg		sg
की		sg		sg
गुहार		sg		sg
लगाई		sg		sg
थी		sg		sg
।		UNK		UNK
उसकी		sg		sg
माँग		sg		sg
थी		sg		sg
कि		UNK		UNK
उसके		sg		sg
द्वारा		UNK		UNK
अपने		any		any
वरिष्ठ		any		any
अधिकारियों		pl		pl
पर		UNK		UNK
लगाए		sg		pl
गए		sg		pl
यौन		sg		any
उत्पीड़न		sg		sg
के		sg		sg
आरोप		sg		sg
की		sg		sg
जाँच		sg		sg
सुप्रीम		sg		sg
कोर्ट		sg		sg
द्वारा		UNK		UNK
तय		any		any
दिशा		sg		sg
निर्देशों		pl		pl
के		UNK		UNK
तहत		UNK		UNK
की		sg		sg
जाए		sg		sg
।		UNK		UNK
अंजलि		sg		sg
ने		UNK		UNK
अपने		any		any
वरिष्ठ		any		any
अधिकारियों		pl		pl
पर		UNK		UNK
यौन		sg		any
उत्पीड़न		sg		sg
का		sg		sg
आरोप		sg		sg
लगाया		sg		sg
था		sg		sg
।		UNK		UNK
जबकि		UNK		UNK
सैन्य		any		any
अदालत		sg		sg
ने		UNK		UNK
अंजलि		sg		sg
को		UNK		UNK
भ्रष्टाचार		sg		sg
और		UNK		UNK
वरिष्ठ		any		any
अधिकारियों		pl		pl
का		sg		sg
आदेश		sg		sg
नहीं		UNK		UNK
मानने		sg		sg
के		sg		sg
आरोप		sg		sg
में		UNK		UNK
दोषी		any		any
पाया		sg		sg
था		sg		sg
और		UNK		UNK
जनरल		any		any
कोर्टमार्शल		sg		sg
के		UNK		UNK
बाद		sg		sg
उसे		sg		sg
सेवा		sg		sg
से		UNK		UNK
बर्खास्त		any		any
कर		sg		sg
दिया		sg		sg
गया		sg		sg
था		sg		sg
।		UNK		UNK
आयोग		sg		sg
में		UNK		UNK
की		sg		sg
अपनी		any		any
शिकायत		sg		sg
में		UNK		UNK
गुप्ता		sg		sg
ने		UNK		UNK
कहा		sg		sg
था		sg		sg
कि		UNK		UNK
जब		UNK		UNK
वह		sg		sg
बेंगलोर		sg		sg
में		UNK		UNK
नियुक्त		any		any
थी		sg		sg
तब		UNK		UNK
कुछ		UNK		UNK
वरिष्ठ		any		any
अधिकारियों		pl		pl
ने		UNK		UNK
उसका		sg		sg
यौन		sg		sg
उत्पीड़न		sg		sg
किया		sg		sg
,		UNK		UNK
लेकिन		UNK		UNK
उन		pl		pl
पर		UNK		UNK
तो		UNK		UNK
कोई		sg		sg
कार्रवाई		sg		sg
नहीं		UNK		UNK
हुई		sg		sg
अलबत्ता		UNK		UNK
उसे		sg		sg
जरूर		UNK		UNK
बर्खास्त		any		any
कर		sg		sg
दिया		sg		sg
गया		sg		sg
।		UNK		UNK
उसने		sg		sg
यह		sg		sg
भी		UNK		UNK
आरोप		sg		sg
लगाया		sg		sg
कि		UNK		UNK
सैन्य		any		any
अदालत		sg		sg
ने		UNK		UNK
कार्य		sg		sg
-		UNK		UNK
स्थल		sg		sg
पर		UNK		UNK
यौन		sg		any
उत्पीड़न		sg		sg
की		sg		sg
जाँच		sg		sg
के		UNK		UNK
दौरान		sg		sg
सुप्रीम		sg		sg
कोर्ट		sg		sg
द्वारा		UNK		UNK
विशाखा		sg		sg
मामले		sg		sg
में		UNK		UNK
दिए		pl		sg
दिशा		sg		sg
-		UNK		UNK
निर्देशों		pl		pl
का		sg		sg
पालन		sg		sg
नहीं		UNK		UNK
किया		sg		sg
।		UNK		UNK
अंजलि		sg		sg
कर्नाटक		sg		sg
राज्य		sg		sg
महिला		sg		sg
आयोग		sg		sg
में		UNK		UNK
भी		UNK		UNK
अपनी		any		any
शिकायत		sg		sg
दर्ज		any		any
करा		sg		sg
चुकी		sg		sg
है		sg		sg
।		UNK		UNK
बिहार		sg		sg
में		UNK		UNK
13		sg		sg
नवंबर		sg		sg
को		UNK		UNK
होने		sg		sg
वाले		sg		sg
तीसरे		sg		sg
चरण		sg		sg
के		sg		sg
चुनाव		sg		sg
के		UNK		UNK
मद्देनज़र		UNK		UNK
माओवादी		any		any
छापामारों		pl		pl
की		pl		pl
धमकियों		pl		pl
को		UNK		UNK
देखते		pl		sg
हुए		pl		sg
नेपाल		sg		sg
,		UNK		UNK
पश्चिम		sg		sg
बंगाल		sg		sg
और		UNK		UNK
उत्तर		sg		sg
प्रदेश		sg		sg
से		UNK		UNK
लगी		pl		pl
सीमाओं		pl		pl
को		UNK		UNK
सील		sg		sg
करने		sg		sg
का		sg		sg
आदेश		sg		sg
दिया		sg		sg
गया		sg		sg
है		sg		sg
।		UNK		UNK
बिहार		sg		sg
विधानसभा		sg		sg
के		pl		pl
दो		any		any
चरणों		pl		pl
के		pl		pl
चुनाव		pl		sg
शांतिपूर्ण		any		any
ढंग		sg		sg
से		UNK		UNK
सम्पन्न		any		any
होने		any		any
से		UNK		UNK
उत्साहित		any		any
मुख्य		any		any
चुनाव		sg		sg
आयुक्त		sg		sg
बी.		sg		sg
बी.		sg		sg
टंडन		sg		sg
ने		UNK		UNK
कहा		sg		sg
कि		UNK		UNK
तीसरे		sg		sg
चरण		sg		sg
के		sg		sg
चुनाव		sg		sg
के		UNK		sg
दरम्यान		sg		sg
आयोग		sg		sg
सुरक्षा		sg		sg
की		sg		sg
कड़ी		sg		sg
व्यवस्था		sg		sg
करेगा		sg		sg
।		UNK		UNK
तीसरे		sg		sg
चरण		sg		sg
के		sg		sg
मतदान		sg		sg
के		UNK		UNK
दौरान		sg		sg
नेपाल		sg		sg
से		UNK		UNK
सटे		pl		sg
विधानसभा		sg		sg
क्षेत्रों		pl		pl
में		UNK		UNK
बड़े		sg		sg
पैमाने		sg		sg
पर		UNK		UNK
हिंसा		sg		sg
की		sg		sg
आंशका		sg		sg
जताई		sg		sg
जा		any		any
रही		sg		sg
है		sg		sg
।		UNK		UNK
यह		sg		sg
प्रशासन		sg		sg
और		UNK		UNK
आयोग		sg		sg
दोनों		pl		pl
के		UNK		UNK
लिए		UNK		UNK
चुनौती		sg		sg
है		sg		sg
।		UNK		UNK
राज्य		sg		sg
के		sg		sg
गृह		sg		sg
विभाग		sg		sg
के		pl		pl
सूत्रों		pl		pl
ने		UNK		UNK
कहा		sg		sg
है		sg		sg
कि		UNK		UNK
खुफिया		sg		any
विभाग		sg		sg
ने		UNK		UNK
नेपाली		any		any
माओवादी		any		any
विद्रोहियों		pl		pl
के		sg		sg
समर्थन		sg		sg
से		UNK		UNK
इन		pl		pl
क्षेत्रों		pl		pl
में		UNK		UNK
तीसरे		sg		sg
चरण		sg		sg
के		sg		sg
मतदान		sg		sg
के		UNK		UNK
दौरान		sg		sg
भारी		any		any
हिंसा		sg		sg
की		sg		sg
आशंका		sg		sg
जताई		sg		sg
है		sg		sg
।		UNK		UNK
अधिकारियों		pl		pl
ने		UNK		UNK
कहा		sg		sg
कि		UNK		UNK
कुछ		UNK		UNK
ही		UNK		UNK
महीने		pl		pl
पहले		sg		sg
माओवादियों		pl		pl
ने		UNK		UNK
नेपाल		sg		sg
सीमा		sg		sg
से		UNK		UNK
लगे		sg		sg
मधुबन		sg		sg
ब्लॉक		sg		sg
के		UNK		UNK
अंतर्गत		UNK		UNK
आने		sg		sg
वाले		sg		pl
पुलिस		sg		sg
स्टेशन		sg		sg
,		UNK		UNK
बैंक		sg		sg
और		UNK		UNK
सरकारी		any		any
कार्यालयों		pl		pl
पर		UNK		UNK
हमले		pl		pl
किए		pl		pl
थे		pl		pl
।		UNK		UNK
इन		pl		pl
हमलों		pl		pl
में		UNK		UNK
पुलिस		sg		sg
के		pl		pl
कई		UNK		UNK
जवान		pl		pl
मारे		pl		pl
गए		pl		pl
थे		pl		pl
।		UNK		UNK
यहाँ		UNK		UNK
के		pl		pl
माओवादी		any		any
छापामारों		pl		pl
को		UNK		UNK
नेपाल		sg		sg
के		pl		pl
माओवादी		any		any
विद्रोहियों		pl		pl
से		UNK		UNK
हर		UNK		UNK
संभव		any		any
सहायता		sg		sg
मिलने		sg		sg
की		sg		sg
भी		UNK		UNK
खबर		sg		sg
है		sg		sg
।		UNK		UNK
अधिकारियों		pl		pl
ने		UNK		UNK
बताया		sg		sg
कि		UNK		UNK
हिंसा		sg		sg
की		sg		sg
घटना		sg		sg
को		UNK		UNK
अंजाम		sg		sg
देने		sg		sg
के		UNK		UNK
बाद		sg		sg
ये		pl		pl
छापामार		sg		sg
सीमा		sg		sg
पार		sg		sg
कर		any		any
नेपाल		sg		sg
भाग		pl		sg
जाते		pl		pl
हैं		pl		pl
।		UNK		UNK
तीसरे		sg		sg
चरण		sg		sg
में		UNK		UNK
72		any		any
विधान		sg		sg
सभा		sg		sg
क्षेत्रों		pl		pl
में		UNK		UNK
चुनाव		pl		sg
कराए		pl		pl
जाएँगे		pl		pl
।		UNK		UNK
इनमें		pl		pl
से		UNK		UNK
आधे		pl		sg
क्षेत्र		pl		sg
पूर्वी		any		any
और		UNK		UNK
पश्चिमी		any		any
चंपारण		sg		sg
,		UNK		UNK
सीतामढ़ी		sg		sg
और		UNK		UNK
मधुबनी		sg		sg
जिले		sg		sg
के		pl		pl
सीमावर्ती		any		any
क्षेत्र		pl		pl
हैं		pl		pl
।		UNK		UNK
गृह		sg		sg
सचिव		sg		sg
एच.		sg		sg
आर.		sg		sg
सिरोही		sg		sg
ने		UNK		UNK
कहा		sg		sg
कि		UNK		UNK
अति		UNK		UNK
संवेदनशील		any		any
क्षेत्रों		pl		pl
में		UNK		UNK
एनएसजी		sg		sg
के		pl		pl
जवान		pl		sg
तैनात		any		any
किए		pl		pl
जाएँगे		pl		pl
।		UNK		UNK
कहते		pl		sg
हैं		pl		pl
मोहब्बत		sg		sg
और		UNK		UNK
जंग		sg		sg
में		UNK		UNK
सब		UNK		sg
कुछ		any		UNK
जायज		any		any
है		sg		sg
।		UNK		UNK
और		UNK		UNK
मामला		sg		sg
जब		UNK		UNK
देश		sg		sg
के		sg		sg
सबसे		UNK		UNK
बड़े		sg		sg
औद्योगिक		any		any
साम्राज्य		sg		sg
का		sg		sg
हो		any		any
तो		UNK		UNK
यह		sg		sg
देखना		any		any
दिलचस्प		any		any
है		sg		sg
कि		UNK		UNK
आखिर		UNK		UNK
सुलह		sg		sg
के		UNK		UNK
बाद		sg		sg
दोनों		pl		pl
अंबानी		sg		sg
भाईयों		pl		pl
के		sg		sg
हिस्से		sg		sg
में		UNK		UNK
क्या		UNK		UNK
आया		sg		sg
।		UNK		UNK
बेशक़		UNK		sg
,		UNK		UNK
माँ		sg		sg
कोकिलाबेन		sg		sg
के		UNK		UNK
लिए		UNK		UNK
मुकेश		sg		sg
और		UNK		UNK
अनिल		sg		sg
बराबर		any		any
हैं		pl		pl
।		UNK		UNK
लेकिन		UNK		UNK
,		UNK		UNK
कम		UNK		UNK
से		UNK		UNK
कम		UNK		UNK
एक		any		any
मामले		sg		sg
में		UNK		UNK
अनिल		sg		sg
मुकेश		sg		sg
को		UNK		UNK
झुकाने		any		any
में		UNK		UNK
क़ामयाब		any		any
रहे		sg		pl
हैं		sg		pl
।		UNK		UNK
यह		sg		sg
वही		sg		sg
आनंद		sg		sg
जैन		sg		pl
हैं		sg		pl
,		UNK		UNK
जिनकी		sg		sg
मौजदूगी		sg		any
अनिल		sg		sg
को		UNK		UNK
बराबर		UNK		any
खटकती		sg		sg
रही		sg		sg
और		UNK		UNK
इसे		sg		sg
सार्वजनिक		any		any
करने		any		any
से		UNK		UNK
भी		UNK		UNK
उन्होंने		sg		sg
गुरेज़		sg		sg
नहीं		UNK		UNK
किया		sg		sg
।		UNK		UNK
तो		UNK		UNK
दूसरी		sg		sg
ओर		sg		sg
आनंद		sg		sg
जैन		sg		sg
को		UNK		UNK
बचाने		any		any
में		UNK		UNK
नाक़ामयाब		any		any
रहे		sg		sg
मुकेश		sg		sg
अपने		any		any
इस		sg		sg
मित्र		sg		sg
की		sg		sg
बेटी		sg		sg
की		sg		sg
शादी		sg		sg
में		UNK		UNK
शामिल		any		any
होने		any		any
के		UNK		UNK
लिए		UNK		UNK
गोवा		sg		sg
रवाना		any		any
हो		sg		pl
गए		sg		pl
हैं		sg		pl
।		UNK		UNK
समझौते		sg		sg
की		sg		sg
क़ीमत		sg		sg
बने		sg		sg
आनंद		sg		sg
जैन		sg		sg
प्रतिक्रिया		sg		sg
के		UNK		UNK
लिए		UNK		UNK
उपलब्ध		any		any
नहीं		UNK		UNK
थे		sg		pl
।		UNK		UNK
वह		sg		sg
गोवा		sg		sg
में		UNK		UNK
हैं		sg		pl
।		UNK		UNK
वहाँ		UNK		UNK
उनकी		sg		sg
बेटी		sg		sg
की		sg		sg
शादी		sg		sg
है		sg		sg
।		UNK		UNK
आनंद		sg		sg
जैन		sg		sg
आईपीसीएल		sg		sg
के		sg		sg
बोर्ड		sg		sg
ऑफ		UNK		UNK
डायरेक्टर		sg		sg
में		UNK		UNK
रिलायंस		sg		sg
इंडस्ट्रीज		pl		sg
के		sg		pl
प्रतिनिधि		sg		pl
थे		sg		pl
।		UNK		UNK
लेकिन		UNK		UNK
,		UNK		UNK
उन्हें		sg		pl
आईपीसीएल		sg		sg
बोर्ड		sg		sg
से		UNK		UNK
आज		sg		sg
हटा		sg		sg
दिया		sg		sg
गया		sg		sg
।		UNK		UNK
वह		sg		sg
भी		UNK		UNK
तब		UNK		UNK
NULL		UNK		UNK
जब		UNK		UNK
बंटवारे		sg		sg
में		UNK		UNK
पेट्रो		sg		sg
केमिकल्स		pl		sg
कंपनी		sg		sg
मुकेश		sg		sg
अंबानी		sg		sg
के		sg		sg
हिस्से		sg		sg
आई		sg		sg
है		sg		sg
।		UNK		UNK
दरअसल		UNK		UNK
मुकेश		sg		sg
और		UNK		UNK
अनिल		sg		sg
अंबानी		sg		sg
के		sg		sg
रिश्ते		sg		sg
में		UNK		UNK
आनंद		sg		sg
जैन		sg		sg
फाँस		sg		pl
बन		sg		pl
गए		sg		pl
थे		sg		pl
।		UNK		UNK
आईपीसीएल		sg		sg
के		sg		sg
उपाध्यक्ष		sg		sg
रहे		sg		sg
अनिल		sg		sg
ने		UNK		UNK
इस		sg		sg
साल		sg		sg
के		sg		sg
शुरू		sg		sg
में		UNK		UNK
आनंद		sg		sg
पर		UNK		UNK
हमले		pl		pl
शुरू		sg		sg
किए		pl		pl
।		UNK		UNK
अनिल		sg		sg
ने		UNK		UNK
जैन		sg		sg
पर		UNK		UNK
परिवार		sg		sg
को		UNK		UNK
बाँटने		sg		sg
की		sg		sg
साजिश		sg		sg
रचने		sg		sg
का		sg		sg
आरोप		sg		sg
लगाया		sg		sg
लेकिन		UNK		UNK
,		UNK		UNK
मुकेश		sg		sg
खेमा		sg		sg
लगातार		UNK		UNK
उनका		sg		sg
बचाव		sg		sg
करता		sg		sg
रहा		sg		sg
।		UNK		UNK
आनंद		sg		sg
जैन		sg		sg
को		UNK		UNK
लेकर		any		any
अनिल		sg		sg
की		sg		sg
कड़वाहट		sg		sg
का		sg		sg
अंदाजा		sg		sg
उस		sg		sg
पत्र		sg		sg
से		UNK		UNK
लगाया		sg		sg
जा		any		any
सकता		sg		sg
है		sg		sg
जो		sg		sg
उन्होंने		sg		sg
जनवरी		sg		sg
में		UNK		UNK
अपने		any		any
बड़े		sg		sg
भाई		sg		sg
को		UNK		UNK
लिखा		sg		sg
था		sg		sg
।		UNK		UNK
अनिल		sg		sg
ने		UNK		UNK
इसमें		sg		sg
लिखा		sg		sg
,		UNK		UNK
जैन		sg		sg
के		UNK		UNK
साथ		sg		sg
आईपीसीएल		sg		sg
में		UNK		UNK
बने		any		sg
रहना		any		any
मेरे		sg		pl
सम्मान		sg		sg
के		UNK		UNK
खिलाफ		UNK		UNK
है		sg		sg
।		UNK		UNK
जैन		sg		sg
को		UNK		UNK
कलयुग		sg		sg
का		sg		sg
शकुनी		sg		sg
बताते		sg		sg
हुए		sg		sg
अनिल		sg		sg
ने		UNK		UNK
मुकेश		sg		sg
को		UNK		UNK
पिता		sg		sg
धीरू		sg		sg
भाई		sg		sg
अंबानी		sg		sg
की		sg		sg
सीख		sg		sg
याद		sg		sg
दिलाई		sg		sg
कि		UNK		UNK
-		UNK		UNK
चमचे		sg		sg
,		UNK		UNK
चेला		sg		sg
और		UNK		UNK
चाटुकारों		pl		pl
से		UNK		UNK
बचके		any		sg
रहो		sg		sg
।		UNK		UNK
अनिल		sg		sg
ने		UNK		UNK
जैन		sg		sg
के		pl		UNK
तौर		sg		UNK
तरीकों		pl		pl
पर		UNK		UNK
आपत्ति		sg		sg
जताते		sg		sg
हुए		sg		sg
आरोप		sg		sg
लगाया		sg		sg
था		sg		sg
कि		UNK		UNK
वजह		UNK		sg
से		UNK		UNK
रिलायंस		sg		sg
समूह		sg		sg
की		sg		sg
प्रतिष्ठा		sg		sg
पर		UNK		UNK
आँच		sg		sg
आई		sg		sg
है		sg		sg
।		UNK		UNK
अनिल		sg		sg
अंबानी		sg		sg
ने		UNK		UNK
आनंद		sg		sg
जैन		sg		sg
पर		UNK		UNK
उनकी		sg		sg
चरित्र		sg		any
हत्या		sg		sg
तक		UNK		UNK
का		sg		sg
आरोप		sg		sg
लगाया		sg		sg
।		UNK		UNK
बात		sg		sg
इतनी		sg		sg
बढ़ी		sg		sg
कि		UNK		UNK
अनिल		sg		sg
ने		UNK		UNK
आखिर		sg		sg
में		UNK		UNK
अपने		any		any
बड़े		sg		sg
भाई		sg		sg
को		UNK		UNK
लिख		sg		sg
डाला		sg		sg
,		UNK		UNK
'		UNK		UNK
मुझे		sg		pl
चुनें		sg		pl
या		UNK		UNK
अपने		any		any
मित्र		sg		sg
को		UNK		UNK
NULL		UNK		UNK
इसके		sg		sg
बावजूद		UNK		UNK
मुकेश		sg		sg
खेमे		sg		sg
का		sg		sg
रुख		sg		sg
ठंडा		sg		sg
रहा		sg		sg
।		UNK		UNK
आखिरकार		UNK		sg
अनिल		sg		sg
ने		UNK		UNK
आईपीसीएल		sg		sg
बोर्ड		sg		sg
से		UNK		UNK
इस्तीफा		sg		sg
दे		sg		sg
दिया		sg		sg
।		UNK		UNK
बहरहाल		UNK		UNK
,		UNK		UNK
इस		sg		sg
जंग		sg		sg
में		UNK		UNK
एक		any		any
तरह		sg		sg
से		UNK		UNK
अनिल		sg		sg
विजयी		any		sg
साबित		any		any
हुए		sg		pl
।		UNK		UNK
भाइयों		pl		pl
के		sg		sg
झगड़े		sg		sg
में		UNK		UNK
आनंद		sg		sg
जैन		sg		sg
को		UNK		UNK
आईपीसीएल		sg		sg
बोर्ड		sg		sg
से		UNK		UNK
जाना		sg		sg
पड़ा		sg		sg
।		UNK		UNK
मुकेश		sg		sg
अपनी		any		any
पत्नी		sg		sg
नीता		sg		sg
के		UNK		UNK
साथ		sg		sg
आनंद		sg		sg
जैन		sg		sg
की		sg		sg
बेटी		sg		sg
की		sg		sg
शादी		sg		sg
में		UNK		UNK
शामिल		any		any
होंगे		sg		pl
।		UNK		UNK
सूत्रों		pl		pl
के		UNK		UNK
मुताबिक		UNK		UNK
मुकेश		sg		sg
चार		any		any
दिन		sg		sg
तक		UNK		UNK
चलने		sg		sg
वाले		sg		pl
विवाह		sg		sg
समारोह		sg		sg
के		UNK		UNK
दौरान		sg		sg
गोवा		sg		sg
में		UNK		UNK
ही		UNK		UNK
रहेंगे		sg		pl
।		UNK		UNK
भाजपा		sg		sg
के		sg		sg
राष्ट्रीय		any		any
उपाध्यक्ष		sg		sg
और		UNK		UNK
झारखंड		sg		sg
के		sg		sg
पूर्व		any		any
मुख्यमंत्री		sg		sg
बाबू		sg		sg
लाल		sg		sg
मरांडी		sg		sg
ने		UNK		UNK
बृहस्पतिवार		sg		sg
को		UNK		UNK
कहा		sg		sg
कि		UNK		UNK
वह		sg		sg
पार्टी		sg		sg
अध्यक्ष		sg		sg
लाल		sg		sg
कृष्ण		sg		sg
आडवाणी		sg		sg
से		UNK		UNK
तब		UNK		UNK
मिलेंगे		sg		pl
जब		UNK		UNK
उन्हें		sg		pl
बुलाया		sg		sg
जाएगा		sg		sg
।		UNK		UNK
झारखंड		sg		sg
में		UNK		UNK
यदुनाथ		sg		sg
पांडेय		sg		sg
को		UNK		UNK
प्रदेश		sg		sg
अध्यक्ष		sg		sg
बनाए		sg		sg
जाने		any		any
से		UNK		UNK
नाराज		any		any
चल		sg		sg
रहे		sg		sg
मरांडी		sg		sg
ने		UNK		UNK
कहा		sg		sg
कि		UNK		UNK
उन्हें		sg		sg
अब		UNK		UNK
तक		UNK		UNK
आडवाणी		sg		sg
की		sg		sg
ओर		sg		sg
से		UNK		UNK
कोई		sg		sg
बुलावा		sg		sg
नहीं		UNK		UNK
आया		sg		sg
है		sg		sg
।		UNK		UNK
कोलकाता		sg		sg
में		UNK		UNK
मौजूद		any		any
मरांडी		sg		sg
से		UNK		UNK
जब		UNK		UNK
फोन		sg		sg
पर		UNK		UNK
पूछा		sg		sg
गया		sg		sg
कि		UNK		UNK
क्या		UNK		UNK
वह		sg		sg
यहाँ		UNK		UNK
शुक्रवार		sg		sg
को		UNK		UNK
उस		sg		sg
समारोह		sg		sg
में		UNK		UNK
शिरकत		sg		sg
करेंगे		sg		pl
जिसमें		sg		sg
पांडेय		sg		sg
प्रदेश		sg		sg
अध्यक्ष		sg		sg
का		sg		sg
पदभार		sg		sg
ग्रहण		sg		sg
करेंगे		sg		pl
,		UNK		UNK
NULL		UNK		UNK
इस		sg		sg
पर		UNK		UNK
मरांडी		sg		sg
ने		UNK		UNK
कहा		sg		sg
कि		UNK		UNK
उन्हें		sg		sg
इस		sg		sg
बात		sg		sg
से		UNK		UNK
कोई		sg		sg
मतलब		sg		sg
नहीं		UNK		UNK
NULL		UNK		UNK
।		UNK		UNK
इसलिए		UNK		UNK
उन्हें		sg		pl
हाईकमान		sg		sg
के		sg		sg
जवाब		sg		sg
का		sg		sg
इंतजार		sg		sg
है		sg		sg
।		UNK		UNK
NULL		UNK		UNK
उल्लेखनीय		any		any
है		sg		sg
कि		UNK		UNK
भाजपा		sg		sg
ने		UNK		UNK
पार्टी		sg		sg
विधायकों		pl		pl
,		UNK		UNK
सांसदों		pl		pl
,		UNK		UNK
जिलाध्यक्षों		pl		pl
,		UNK		UNK
वरिष्ठ		any		any
पार्टी		sg		sg
नेताओं		pl		pl
व		UNK		UNK
अन्य		any		any
पदाधिकारियों		pl		pl
को		UNK		UNK
इस		sg		sg
समारोह		sg		sg
में		UNK		UNK
शामिल		any		any
होने		sg		sg
का		sg		sg
न्यौता		sg		sg
दिया		sg		sg
है		sg		sg
।		UNK		UNK
सूत्रों		pl		pl
का		sg		sg
कहना		any		any
है		sg		sg
कि		UNK		UNK
पांडेय		sg		sg
की		sg		sg
नियुक्ति		sg		sg
का		sg		sg
विरोध		sg		sg
कर		pl		sg
रहे		pl		sg
पार्टी		sg		sg
के		pl		pl
कुछ		UNK		UNK
वरिष्ठ		any		any
नेताओं		pl		pl
के		UNK		UNK
खिलाफ		UNK		UNK
यह		sg		sg
आयोजन		sg		sg
शक्ति		sg		sg
प्रदर्शन		sg		sg
का		sg		sg
एक		any		any
अवसर		sg		sg
रहेगा		sg		sg
।		UNK		UNK
इसे		sg		sg
अजीब		any		sg
संयोग		sg		sg
ही		UNK		UNK
कहा		sg		sg
जाएगा		sg		sg
कि		UNK		UNK
विधि		sg		sg
मंत्री		sg		sg
हंसराज		sg		sg
भारद्वाज		sg		sg
ने		UNK		UNK
1985		sg		sg
में		UNK		UNK
आंध्र		sg		sg
प्रदेश		sg		sg
की		sg		sg
तत्कालीन		any		any
एन.		sg		sg
टी.		sg		sg
रामाराव		sg		sg
सरकार		sg		sg
की		sg		sg
सिफारिश		sg		sg
पर		UNK		UNK
राज्य		sg		sg
विधान		sg		sg
परिषद		sg		sg
को		UNK		UNK
खत्म		any		any
करने		any		any
संबंधी		UNK		any
कानून		sg		sg
को		UNK		UNK
संसद		sg		sg
में		UNK		UNK
पारित		any		any
कराया		sg		sg
था		sg		sg
